//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 18:38:55 2025 UTC
// Run info format:
// Detector Run Date LocalTime Location DetectorPositionXYZ Theta Phi PlaneSeparation MinADC
//************************************************
COMMENTS: 
ATHAB 116 15OCT2025 18:38:55 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100 
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		        	        	      04	      02	    1271	    2150
		579527.584	      61	      05	      12	    1351	    1850
		600907.240	      62	      00	      01	    1137	    4839
		        	        	      00	      02	     877	    3764
		600907.248	      62	      02	      04	     774	    2412
		        	        	      02	      05	    1580	    5648
		600907.264	      62	      01	      19	    1487	    6227
		600907.232	      62	      03	      19	    1240	    3293
		        	        	      03	      20	     547	    1126
		602220.624	      63	      00	      05	     681	    2992
		        	        	      00	      06	     150	     596
		602220.608	      63	      03	      43	     177	     103
		604013.712	      64	      00	      26	    1770	    7533
		604013.720	      64	      02	      24	     407	    1437
		        	        	      02	      25	     923	    3079
		        	        	      02	      26	     560	    1814
		        	        	      02	      27	    1769	    6318
		604013.680	      64	      04	      25	    1183	    1158
		        	        	      04	      26	    1282	    1534
		604013.696	      64	      03	      27	    1420	    4132
		        	        	      03	      28	     421	    1087
		604013.656	      64	      05	      25	     701	       0
		        	        	      05	      26	    1193	     747
		613371.200	      65	      00	      09	    1486	    6440
		        	        	      00	      10	     416	    1800
		613371.168	      65	      04	      04	     603	       0
		        	        	      04	      05	    1738	    3779
		        	        	      04	      07	     904	     660
		613371.224	      65	      01	      02	    1939	    8092
		613371.152	      65	      05	      05	     906	     198
		        	        	      05	      06	    1315	    1888
		646871.096	      66	      00	      06	    1833	    7716
		        	        	      00	      07	    2984	    8056
		646871.096	      66	      02	      11	    1004	    3844
		        	        	      02	      12	     908	    3361
		646871.064	      66	      04	      02	    1699	    3604
		        	        	      04	      03	     244	     108
		646871.112	      66	      01	      24	    1815	    7732
		        	        	      01	      25	     746	    3206
		646871.080	      66	      03	      16	     505	    1372
		        	        	      03	      17	    2241	    7673
		        	        	      03	      21	     433	    1450
		646871.040	      66	      05	      14	    1501	    2278
		        	        	      05	      30	    1066	     382
		        	        	      05	      31	    1442	    1750
		698963.712	      67	      00	      24	    1193	    5105
		698963.720	      67	      02	      23	     677	    2075
		        	        	      02	      24	    1219	    4113
		698963.680	      67	      04	      24	     756	       0
		        	        	      04	      25	     937	     323
		698963.728	      67	      01	      34	     962	    4310
		        	        	      01	      35	    1284	    5828
		698963.696	      67	      03	      34	     741	    1449
		        	        	      03	      35	    1396	    3788
		        	        	      03	      45	      73	     302
		698963.656	      67	      05	      34	    1437	    1877
		709518.464	      68	      00	      16	     793	    3653
		        	        	      00	      17	    2448	    8086
		709518.432	      68	      04	      06	    2008	    4783
		        	        	      04	      07	    2724	    7038
		709518.488	      68	      01	      14	    2330	    8086
		709518.448	      68	      03	      10	     582	    1709
		709518.416	      68	      05	      17	    1179	    1059
		        	        	      05	      18	    1171	    1168
		730907.992	      69	      00	      21	    1305	    5878
		730907.960	      69	      04	      14	     762	       0
		        	        	      04	      15	    1730	    3356
		730908.008	      69	      01	      26	     550	    2331
		        	        	      01	      27	    1685	    7151
		730907.936	      69	      05	      28	    3135	    6460
		        	        	      05	      29	     437	       0
		743356.928	      70	      00	      06	     145	     517
		        	        	      00	      08	      97	     420
		        	        	      00	      09	     833	    3678
		        	        	      00	      10	    1937	    8028
		        	        	      00	      14	     209	     917
