Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146437,178463466,3.2114,-2.93242,-1.03037,-0.807657,3.10818,-0.25701,-2.8037,-1,40.5566,-17.7875,-11.7048,-34.5173,21.2931,-1.26009,-2.55959,1,8.73439
146437,61541094,18.095,4.5568,2.46893,17.3369,5.18266,1.9223,0.496535,-1,19.7925,4.05834,12.0708,15.1515,12.7348,1.00941,1.24646,1,9.71283
146437,159600572,5.06833,1.55503,3.60122,3.20953,3.92261,0.746828,1.16318,1,20.4726,12.8019,14.711,-6.23087,19.5013,-0.314309,0.854677,-1,10.0871
146436,61403727,7.93903,5.99674,-5.17934,-0.491721,7.92379,-0.0620165,-0.71239,-1,19.4841,16.6096,0.197979,-10.1841,16.6108,-0.580026,0.011919,1,10.1094
146437,103730517,22.5091,-13.7343,-3.29202,17.5268,14.1233,1.04195,-2.90634,1,4.27268,1.90145,-2.49798,2.89833,3.13934,0.826035,-0.920169,1,11.2487
146437,187510011,15.1751,14.3712,3.96367,-2.83575,14.9078,-0.189091,0.269116,1,22.0628,20.7179,3.32525,6.81749,20.9831,0.319444,0.159144,-1,9.29694
146437,136160079,12.0251,3.13547,2.46348,11.3448,3.98747,1.76829,0.665948,1,59.1517,11.5037,-12.7062,56.614,17.1401,1.91015,-0.835025,-1,11.3372
146437,137142035,30.2282,13.5077,14.9064,22.563,20.1161,0.964822,0.834587,1,9.24715,-0.25934,3.24869,8.65382,3.25902,1.70343,1.65046,-1,8.87085
146437,30245812,16.9537,11.8994,2.13713,11.8855,12.0898,0.869371,0.177705,1,4.30058,-0.80737,3.48906,2.38108,3.58126,0.623652,1.79819,-1,9.6707
146437,31434653,3.16161,2.11896,2.29962,0.466414,3.12702,0.148608,0.826261,-1,10.6043,7.04917,-4.51436,-6.51011,8.37079,-0.715174,-0.569604,-1,8.00095
146437,153169248,61.5001,-15.7034,-10.2725,-58.5675,18.7648,-1.85607,-2.5623,-1,6.43456,-1.90274,2.59987,-5.5699,3.22176,-1.31535,2.20259,-1,11.5186
146514,229343181,8.67922,1.15235,4.83992,7.11169,4.97522,1.15497,1.33706,-1,35.2191,-10.1707,3.5675,33.5293,10.7782,1.85293,2.80424,-1,11.1066
146514,42882156,27.8075,-8.41964,13.1307,23.0206,15.5983,1.18129,2.14097,-1,6.24993,-5.54922,0.438852,2.8417,5.56655,0.49058,3.06267,1,10.5728
146514,329281194,3.38926,3.14444,-1.1024,-0.61993,3.33208,-0.184992,-0.337199,-1,22.9923,10.1643,7.98168,-19.0164,12.9236,-1.17882,0.665694,1,9.27104
146514,320884128,4.78775,2.24177,-3.08819,2.89139,3.81607,0.699286,-0.942888,1,36.5414,13.2123,5.52433,33.6183,14.3207,1.58907,0.396029,-1,11.4183
146514,323367023,20.993,-2.52682,14.1235,-15.3248,14.3477,-0.928716,1.74783,1,13.5192,-0.0933306,3.58454,-13.035,3.58576,-2.00222,1.59683,-1,8.14716
146514,100190644,49.7434,7.07313,-22.2645,-43.9166,23.361,-1.3886,-1.26319,-1,33.1962,6.2101,-8.58454,-31.4599,10.5953,-1.80868,-0.944534,1,8.32129
146514,292822162,24.0433,-18.1575,-11.7296,10.5262,21.6166,0.469511,-2.56804,-1,7.76558,0.010137,-6.38035,4.42665,6.38036,0.647574,-1.56921,1,11.4419
146514,295812327,63.05,14.9864,-8.21433,-60.6896,17.09,-1.97969,-0.501397,1,12.1344,2.21531,2.08252,-11.7473,3.04048,-2.0611,0.754511,1,8.49012
146514,295857268,5.97235,-1.79842,2.75544,4.98419,3.29041,1.20293,2.14905,1,5.17158,-2.49918,-4.39195,1.10002,5.05323,0.216003,-2.08814,1,8.12538
146514,9127317,26.2778,-14.2349,3.47107,21.8137,14.652,1.18853,2.90242,-1,9.95289,-1.83481,-4.63753,8.61317,4.98731,1.31444,-1.94754,1,11.2812
146514,234075985,8.89278,3.05513,1.23302,-8.25999,3.29456,-1.64989,0.383596,1,41.9024,-1.23911,-11.9702,-40.1372,12.0341,-1.91945,-1.67395,1,10.9217
146514,234662431,18.7831,-15.8294,-6.45542,-7.78224,17.0951,-0.440816,-2.75437,-1,7.98997,-1.78299,-6.06722,-4.88359,6.32378,-0.710858,-1.85662,1,9.45317
146514,238303509,8.65355,-7.32827,-4.4083,1.32182,8.552,0.153954,-2.60004,-1,8.97109,-1.53018,3.12781,8.26776,3.48205,1.59954,2.02578,1,11.771
146514,315943168,11.7484,-8.1962,8.03618,-2.50316,11.4786,-0.21638,2.36605,-1,3.49389,2.58625,2.31692,0.387832,3.4723,0.111462,0.730524,1,9.4442
146514,316409711,4.45168,-2.14337,2.25588,-3.18347,3.11175,-0.897576,2.33063,-1,13.7799,-6.71144,9.64402,7.1996,11.7495,0.579734,2.17878,1,9.81046
146514,35025056,9.39514,2.3082,-5.0797,7.55893,5.57953,1.1114,-1.14429,-1,13.5484,-4.01176,0.332436,12.9366,4.02551,1.88393,3.05892,-1,8.99458
146514,500374074,12.1968,-2.89038,-11.4303,-3.12329,11.7901,-0.261904,-1.81847,-1,5.37407,-3.90416,1.04609,-3.54173,4.04187,-0.791117,2.8798,1,10.5031
146514,165898767,13.5562,12.8644,-2.31903,-3.59177,13.0718,-0.271428,-0.178352,-1,3.71811,1.24223,3.08865,-1.65573,3.3291,-0.47884,1.1884,-1,8.44259
146514,169502667,8.58731,-2.87461,-4.53447,6.70202,5.36887,1.04654,-2.1358,1,35.5791,-19.2768,4.28214,29.5963,19.7466,1.1941,2.923,-1,11.9313
146514,278129027,26.9963,4.56718,19.8945,17.6678,20.412,0.783047,1.34514,1,4.8923,-2.91647,3.2064,2.26888,4.33437,0.502097,2.30888,1,9.11244
146514,283693603,82.8644,23.1964,9.52343,-78.9793,25.0752,-1.86475,0.389574,1,10.4957,2.03596,-2.2845,-10.0397,3.06008,-1.90371,-0.842863,-1,10.1311
146514,89590820,23.4794,-6.60913,-13.9999,17.6523,15.4815,0.977132,-2.01186,1,6.07141,-4.27681,-4.29197,-0.387297,6.05905,-0.063877,-2.35443,-1,11.0487
146514,388668152,27.4255,-6.63935,3.31597,-26.4023,7.42137,-1.98143,2.67839,1,8.44719,3.32681,-2.35434,-7.39895,4.07561,-1.35791,-0.615866,1,11.5077
146514,112340852,8.03344,7.65904,-2.37005,0.508082,8.01736,0.0633304,-0.300099,-1,20.5422,11.3234,-14.0843,9.76699,18.0717,0.517102,-0.893638,1,8.93925
146514,475970567,5.37796,-2.26769,-4.8276,-0.688684,5.33368,-0.128764,-2.00994,1,29.2101,-9.42175,-10.311,-25.6543,13.9673,-1.36814,-2.31116,-1,11.6859
146514,41270393,27.6277,-11.7255,-7.28422,23.932,13.8039,1.31779,-2.58571,1,5.24091,2.44962,-3.20939,3.3416,4.03743,0.754118,-0.918859,-1,11.8463
146514,52156851,24.9939,-20.3219,12.3471,-7.69836,23.7788,-0.318345,2.59562,-1,26.286,-25.2466,7.31847,-0.05419,26.286,-0.00206155,2.85945,1,10.3104
146514,220754636,8.14954,3.43623,0.599128,7.36535,3.48807,1.49245,0.172621,1,21.2897,15.5656,-10.0443,10.4916,18.5251,0.539753,-0.573057,-1,9.875
146514,157529456,4.43492,-2.32493,3.77053,-0.215158,4.4297,-0.0485526,2.12334,1,6.08971,2.34499,-4.2349,-3.69475,4.8408,-0.703714,-1.06509,1,9.76035
146514,480096633,12.411,-4.70881,6.12648,9.71223,7.727,1.05191,2.2261,-1,4.32007,3.1413,-0.564082,2.91154,3.19154,0.817957,-0.177676,1,9.33666
