Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
TT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,29.9099793495,23.7007991888,9.74363218006,-15.4249619367,25.6255,-0.570486,0.390047,1,15.2027943246
TT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,0.74832779671
TT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,1.43802873434
TT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,0.985740927449
GT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,195.962881976,-51.0481218686,15.342588077,-188.573948873,53.3568,-1.97605,2.84963,-1,10.1291409922
GT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,29.8751487927,23.6728578039,9.7326986826,-15.4072622955,25.6255,-0.570486,0.390047,1,15.1937381291
GG,148031,124112566,29.8751487927,23.6728578039,9.7326986826,-15.4072622955,25.6255,-0.570486,0.390047,1,195.962881976,-51.0481218686,15.342588077,-188.573948873,53.3568,-1.97605,2.84963,-1,89.5338290432
GT,148031,127732675,71.0680261472,38.0133613174,22.8159531768,-55.5434048178,44.3349,-1.04935,0.540573,-1,51.6492518344,6.61264269489,-50.9776042854,-5.01905063502,51.4344,-0.0976721,-1.4418,1,92.7747836294
TT,148031,127732675,51.6800410609,6.61646326943,-51.0070575231,-5.03169722872,51.4344,-0.0976721,-1.4418,1,71.0680261472,38.0133613174,22.8159531768,-55.5434048178,44.3349,-1.04935,0.540573,-1,92.7964730388
GT,148031,127732675,51.6800410609,6.61646326943,-51.0070575231,-5.03169722872,51.4344,-0.0976721,-1.4418,1,71.884795507,38.4585667119,23.0881394087,-56.1719603227,44.3349,-1.04935,0.540573,-1,93.333578212
GG,148031,127732675,51.6492518344,6.61264269489,-50.9776042854,-5.01905063502,51.4344,-0.0976721,-1.4418,1,71.884795507,38.4585667119,23.0881394087,-56.1719603227,44.3349,-1.04935,0.540573,-1,93.3117616489
GT,148031,128943239,72.8989480629,13.3609795026,-26.0869894196,66.7472746615,29.3095,1.5612,-1.09746,1,37.6276973414,-10.9180743658,35.8051695706,-3.82333985977,37.3966,-0.101973,1.86677,-1,90.3122747052
TT,148031,128943239,37.5913511679,-10.9075158638,35.7705435972,-3.82005593958,37.3966,-0.101973,1.86677,-1,72.8989480629,13.3609795026,-26.0869894196,66.7472746615,29.3095,1.5612,-1.09746,1,90.2689352031
GT,148031,128943239,37.5913511679,-10.9075158638,35.7705435972,-3.82005593958,37.3966,-0.101973,1.86677,-1,73.1952462586,13.4195687924,-26.2020293753,67.0141905958,29.3095,1.5612,-1.09746,1,90.4560923326
TT,148031,128943239,3.68022577208,-0.0934231234456,-0.788153396394,-3.59207243618,0.793671,-2.21495,-1.68878,-1,72.8989480629,13.3609795026,-26.0869894196,66.7472746615,29.3095,1.5612,-1.09746,1,31.2648195816
TT,148031,128943239,3.68022577208,-0.0934231234456,-0.788153396394,-3.59207243618,0.793671,-2.21495,-1.68878,-1,37.5913511679,-10.9075158638,35.7705435972,-3.82005593958,37.3966,-0.101973,1.86677,-1,17.4245554691
GT,148031,128943239,3.68022577208,-0.0934231234456,-0.788153396394,-3.59207243618,0.793671,-2.21495,-1.68878,-1,73.1952462586,13.4195687924,-26.2020293753,67.0141905958,29.3095,1.5612,-1.09746,1,31.3275757704
GT,148031,128943239,3.68022577208,-0.0934231234456,-0.788153396394,-3.59207243618,0.793671,-2.21495,-1.68878,-1,37.6276973414,-10.9180743658,35.8051695706,-3.82333985977,37.3966,-0.101973,1.86677,-1,17.4330626605
