Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,470295556,94.13,-12.80,-25.06,-89.82,28.14,-1.88,-2.04,1,28.42,1.36,56.09
146944,470405846,33.57,1.70,27.32,19.43,27.37,0.66,1.51,-1,24.11,-1.41,51.06
146944,471340793,42.97,8.46,25.98,-33.16,27.32,-1.02,1.26,-1,32.87,-1.87,59.94
146944,471560420,48.42,28.30,27.46,28.09,39.44,0.66,0.77,1,45.15,-2.23,84.18
146944,471298430,80.03,39.20,-15.07,68.13,42.00,1.26,-0.37,1,40.65,2.52,81.97
146944,471842655,87.44,-36.25,37.29,70.29,52.00,1.11,2.34,1,34.50,-0.17,80.58
146944,472383872,74.39,-42.42,-19.48,57.92,46.68,1.04,-2.71,-1,46.06,0.30,92.54
146944,472780610,121.74,1.94,44.73,-113.21,44.77,-1.66,1.53,-1,35.87,-1.50,80.03
146944,474799027,61.22,-4.10,26.46,55.05,26.78,1.47,1.72,1,41.27,-1.74,65.63
146944,474090269,87.23,22.34,-27.83,79.60,35.69,1.54,-0.89,1,43.36,1.63,75.01
146944,474450453,46.40,37.17,17.72,21.38,41.17,0.50,0.44,-1,41.07,-2.00,77.27
146944,474822309,67.54,-40.52,29.59,45.21,50.18,0.81,2.51,-1,28.06,-0.77,74.87
146944,474539927,40.94,22.84,-17.74,28.97,28.93,0.88,-0.66,-1,33.38,2.22,61.59
146944,475020392,63.72,-34.36,5.36,-53.39,34.77,-1.21,2.99,1,43.64,0.40,74.93
146944,475494208,48.20,4.39,-34.83,33.04,35.10,0.84,-1.45,-1,27.38,1.39,61.29
146944,476157409,51.87,-18.02,-40.93,-26.28,44.72,-0.56,-1.99,1,50.53,1.04,94.91
146944,475919691,58.03,-32.42,-28.27,38.95,43.01,0.81,-2.42,-1,31.87,0.29,72.40
146944,475453118,65.70,21.99,18.07,59.22,28.46,1.48,0.69,1,30.08,-2.25,58.20
146944,477041360,68.90,-46.11,-51.18,1.45,68.89,0.02,-2.30,-1,16.95,0.14,64.17
146944,477095456,45.75,38.09,19.01,16.75,42.57,0.38,0.46,1,40.81,-2.59,83.28
146944,477159697,35.98,30.35,18.71,4.88,35.65,0.14,0.55,-1,26.78,-2.55,61.79
146944,476463111,54.28,-10.63,-38.17,37.10,39.62,0.84,-1.84,1,41.81,1.20,81.31
146944,477448671,43.58,-28.57,18.37,-27.31,33.96,-0.74,2.57,-1,29.94,-0.75,63.53
146944,477540359,60.94,56.33,-13.40,-19.00,57.91,-0.32,-0.23,1,40.40,2.44,94.06
146944,478308408,87.07,27.62,19.78,-80.17,33.97,-1.59,0.62,1,40.21,-2.33,73.59
146944,478586746,98.08,30.07,-14.35,92.25,33.32,1.74,-0.45,1,39.54,2.65,72.57
146944,478452068,91.66,10.06,28.63,86.50,30.35,1.77,1.23,1,44.03,-1.95,73.09
146944,478626846,32.19,-27.19,-5.97,16.17,27.84,0.55,-2.93,1,34.08,0.51,60.95
146944,480044235,73.70,-47.35,-45.26,-33.78,65.50,-0.50,-2.38,1,55.98,0.63,120.83
146944,480828383,48.14,-10.44,24.79,-39.93,26.90,-1.19,1.97,1,31.53,-1.68,56.36
146944,483046933,29.48,27.72,-5.97,8.06,28.36,0.28,-0.21,-1,39.36,-2.88,64.94
146944,486828849,65.22,-25.15,16.08,-57.99,29.85,-1.42,2.57,1,34.93,-0.29,63.95
146944,487069314,70.38,-45.94,22.69,48.25,51.24,0.84,2.68,-1,34.58,-0.84,82.68
146944,488380467,98.94,-25.33,11.66,94.93,27.89,1.94,2.71,-1,22.19,-0.44,49.75
146944,488555955,69.80,-30.32,-8.13,62.34,31.39,1.44,-2.88,-1,47.79,0.74,75.24
146944,488288175,35.95,-29.56,-20.19,-3.29,35.80,-0.09,-2.54,-1,33.16,0.69,68.84
146944,491913834,34.31,-4.88,33.89,-2.31,34.23,-0.07,1.71,1,54.90,-1.76,85.52
146944,492022845,43.70,14.01,34.54,-22.82,37.27,-0.58,1.19,-1,44.94,-2.19,81.30
146944,491734158,52.36,25.21,37.11,26.98,44.87,0.57,0.97,-1,22.92,-2.11,64.11
146944,492147559,76.89,-31.29,-7.54,-69.83,32.18,-1.52,-2.91,1,42.68,0.17,74.09
146944,493513008,107.07,-19.14,-30.09,100.96,35.66,1.76,-2.14,1,30.76,0.74,65.67
146944,493951664,121.01,-30.66,8.08,-116.78,31.71,-2.01,2.88,1,31.21,-1.17,56.52
146944,493422433,98.34,46.19,-67.69,-54.36,81.95,-0.62,-0.97,-1,13.97,1.87,66.91
146944,493770164,104.95,45.19,-12.65,-93.87,46.93,-1.44,-0.27,1,37.50,2.61,83.21
146944,493691173,57.75,-7.89,-34.28,-45.80,35.18,-1.08,-1.80,1,43.03,1.62,77.09
146944,493287558,52.73,16.10,26.66,42.55,31.15,1.12,1.03,-1,28.82,-1.99,59.80
146944,493440686,146.36,-41.39,-46.31,132.53,62.11,1.50,-2.30,1,45.44,2.24,81.31
146944,374923341,62.98,42.90,-4.48,-45.89,43.13,-0.93,-0.10,-1,39.24,-2.99,81.59
146944,374915703,36.33,-22.80,24.89,-13.44,33.75,-0.39,2.31,1,30.50,-0.81,64.16
146944,375370168,116.50,-17.90,-26.76,111.96,32.20,1.96,-2.16,-1,27.95,0.60,58.93
146944,375896184,33.23,29.43,-2.73,-15.19,29.56,-0.49,-0.09,-1,48.13,3.05,75.43
146944,376986094,38.57,-23.36,-25.17,-17.58,34.33,-0.49,-2.32,1,38.49,0.91,72.64
146944,376799359,48.77,0.15,27.76,-40.09,27.76,-1.16,1.57,1,28.17,-1.56,55.93
