Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142128,34626387,27.2199904935,14.8987418553,22.6647312964,2.29463038272,27.1231,0.0845,0.989269,-1,116.277451307,-7.93115877129,-22.480135671,-113.807670668,23.8382,-2.26716,-1.90997,-1,90.0431916357
GSF-GSF,142130,525639280,27.2759242185,-24.4107642954,6.38185239226,10.3615919757,25.2312,0.39992,2.88588,-1,173.047865383,27.9256065846,-9.70518381497,170.503764232,29.564,2.45278,-0.334479,1,85.9880512398
GSF-GSF,142130,168757141,43.2507200323,41.7526055304,11.284634771,0.0416240043476,43.2507,0.000962389,0.263967,-1,52.3553032679,-44.6704157909,-17.8845571046,-20.6343003334,48.1176,-0.416669,-2.76077,1,93.0826556419
GSF-GSF,142130,397137472,92.6838965861,-33.2674973528,-4.0935019781,-86.4107721732,33.5184,-1.67582,-3.01916,1,53.6086766214,43.9991988485,-0.187885200937,-30.6255678916,43.9996,-0.649421,-0.00427017,-1,87.0086914438
GSF-GSF,142130,125891698,49.9308551876,33.4555758059,25.506055435,-26.8934170967,42.0694,-0.6022,0.651381,-1,43.2435483441,-32.0608799429,-27.9488649703,7.80803415013,42.5328,0.182561,-2.42461,1,91.1553900562
GSF-GSF,142130,20245688,216.734690963,5.81863395589,-53.9604910261,209.829300084,54.2733,2.06173,-1.46338,-1,103.343015647,-4.66420734369,36.9656042226,96.3927806277,37.2587,1.67911,1.69631,1,91.5839324084
GSF-GSF,142130,256660817,45.961484707,25.330808041,-20.0646455259,-32.6836081257,32.3147,-0.889423,-0.669908,-1,34.2880202708,-27.6622512366,13.5626341013,15.0506859176,30.8082,0.470928,2.68574,1,77.983019457
GSF-GSF,142130,51601374,70.2917263403,-24.5457570239,-14.3403495412,64.2867558584,28.4278,1.55478,-2.61285,1,50.2429652669,25.8722448714,15.6937740941,-40.1084524577,30.26,-1.09388,0.545249,-1,118.069598955
GSF-GSF,142130,13447411,73.151971433,30.3021893033,20.5632115145,63.3256865727,36.6206,1.31555,0.596222,1,32.3243046674,-26.5948774373,-18.285752765,-1.79008711598,32.2747,-0.0554357,-2.53926,-1,85.555150867
GSF-GSF,142130,437632346,67.5693898641,13.4573827036,18.469980442,63.5875862066,22.8526,1.74733,0.941127,1,31.4708093324,-14.5234054821,-20.4140521074,-19.0459709529,25.0532,-0.701304,-2.18916,-1,88.4312713257
GSF-GSF,142132,20495851,71.2919942607,17.1239358967,-45.5203785518,-52.1269066924,48.6347,-0.931247,-1.21099,-1,37.1220652174,14.7364240706,33.0792028297,8.16405974396,36.2132,0.223577,1.1517,1,93.0108111464
GSF-GSF,142132,17092265,59.8345748781,57.1824056714,10.751599183,-13.9553555033,58.1844,-0.237605,0.185853,-1,35.5485719128,-27.4026546492,-22.6128372344,-1.20626496669,35.5281,-0.0339459,-2.45167,1,88.5468656555
GSF-GSF,142132,37994941,52.7858896097,2.76376905282,23.6330441423,-47.1189022243,23.7941,-1.43478,1.45438,-1,43.493099549,-1.43646700131,-39.7369447613,17.6227549409,39.7629,0.429837,-1.60693,1,90.2137667043
GSF-GSF,142132,29433181,68.3745987526,-27.8501241331,14.8307037463,60.6589364107,31.5528,1.40841,2.65227,1,41.9358329734,34.76230669,-21.6284177841,9.07786674628,40.9415,0.21995,-0.556569,-1,84.918681391
