Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,592218189,65.96,-22.59,-11.74,-60.85,25.46,-1.61,-2.66,-1,19.31,0.02,43.18
146944,592374598,77.42,-10.39,-24.64,72.66,26.74,1.72,-1.97,1,0.82,2.02,8.54
146944,592270175,196.78,-27.85,24.05,193.31,36.80,2.36,2.43,-1,39.30,-0.71,76.06
146944,592835143,51.18,38.44,10.20,-32.22,39.77,-0.74,0.26,1,45.98,-2.92,85.50
146944,591969352,80.43,-5.73,44.76,-66.58,45.13,-1.18,1.70,-1,0.86,-1.80,12.24
146944,592225040,229.08,22.44,-33.13,225.56,40.01,2.43,-0.98,-1,14.00,1.92,46.99
146944,593076521,186.78,4.67,35.57,183.30,35.87,2.33,1.44,-1,42.30,-1.72,77.91
146944,593502345,40.90,-38.13,-7.67,-12.67,38.89,-0.32,-2.94,-1,37.54,0.20,76.41
146944,593941482,81.76,42.57,3.54,-69.71,42.71,-1.27,0.08,-1,14.71,-2.94,50.04
146944,594058754,28.53,8.96,25.63,-8.77,27.15,-0.32,1.23,-1,59.84,-1.79,80.47
146944,594388910,44.91,8.52,-37.39,23.38,38.35,0.58,-1.35,1,36.01,1.56,73.82
146944,594027551,166.91,-12.46,-40.97,-161.32,42.82,-2.04,-1.87,-1,2.60,-1.61,2.72
146944,594087223,169.84,20.19,20.24,167.41,28.59,2.47,0.79,1,7.30,0.35,6.23
146944,594339056,63.07,-12.30,-60.91,10.81,62.14,0.17,-1.77,-1,25.71,1.48,79.81
146944,93959228,213.82,-34.01,-10.10,210.85,35.48,2.48,-2.85,-1,37.26,0.42,72.57
146944,94686148,41.04,37.19,-14.26,-9.90,39.83,-0.25,-0.37,-1,14.03,-1.20,19.21
146944,94580325,68.15,-37.26,-5.91,-56.75,37.73,-1.20,-2.98,1,25.63,0.13,62.18
146944,94945284,47.68,-19.95,-43.17,-3.39,47.56,-0.07,-2.00,-1,32.36,1.08,78.42
146944,94194291,150.21,1.80,-26.04,147.92,26.10,2.44,-1.50,-1,6.71,1.49,26.38
146944,96348439,67.61,15.69,-33.35,-56.68,36.86,-1.22,-1.13,1,7.70,0.96,29.11
146944,95287873,153.06,-28.21,-6.80,-150.29,29.02,-2.35,-2.91,-1,4.98,-1.71,13.56
146944,95617233,81.28,16.65,-51.63,60.53,54.25,0.96,-1.26,-1,33.52,-1.23,1.06
146944,95101010,43.51,31.27,28.84,9.17,42.54,0.21,0.75,-1,21.06,-2.27,59.75
146944,95991914,51.29,28.18,6.61,42.35,28.95,1.17,0.23,-1,20.25,-1.90,42.31
146944,95617291,152.55,-10.91,49.67,-143.83,50.86,-1.76,1.79,1,39.98,-0.93,88.15
146944,97408014,185.57,-30.82,23.93,-181.43,39.02,-2.24,2.48,1,40.68,-0.77,79.56
146944,97906086,139.85,-35.51,-21.30,133.58,41.40,1.89,-2.60,-1,17.39,1.17,51.07
146944,277950136,95.97,-1.17,-28.02,-91.78,28.05,-1.90,-1.61,-1,28.93,1.86,56.18
146944,278143224,59.04,-7.47,-31.47,-49.39,32.35,-1.21,-1.80,-1,46.94,1.58,77.34
146944,277224546,72.50,32.34,29.39,-57.85,43.69,-1.09,0.74,1,34.31,-2.33,77.39
146944,277312037,33.77,27.60,19.06,3.89,33.54,0.12,0.60,1,34.17,-2.52,67.71
146944,278478237,43.05,19.79,29.28,24.59,35.34,0.65,0.98,1,46.03,-2.00,80.37
146944,408704879,42.09,-9.02,-37.20,17.52,38.27,0.44,-1.81,-1,40.33,0.87,76.45
146944,408678696,59.58,52.25,-17.60,22.59,55.13,0.40,-0.32,-1,29.14,2.54,79.40
146944,409068920,236.92,-29.60,54.55,-228.65,62.06,-2.02,2.07,-1,7.33,-0.84,42.38
146944,409581648,100.66,-24.84,36.23,-90.57,43.93,-1.47,2.17,1,59.99,-2.43,76.44
146944,409674848,27.01,25.12,-9.73,1.90,26.94,0.07,-0.37,-1,42.81,-2.80,63.66
146944,408569114,138.74,-17.67,31.60,-133.93,36.21,-2.02,2.08,-1,26.44,-1.87,56.85
146944,409014868,28.02,26.40,-1.27,9.30,26.43,0.34,-0.05,-1,17.52,2.44,40.76
146944,408875318,51.70,12.28,47.09,-17.46,48.67,-0.35,1.32,-1,35.55,-2.28,81.02
146944,410728479,93.99,8.98,33.43,87.38,34.61,1.66,1.31,-1,37.84,-1.69,72.19
146944,410240256,29.29,-19.25,-20.74,7.58,28.30,0.26,-2.32,1,21.76,1.13,49.02
146944,410681584,37.88,30.04,22.48,5.15,37.52,0.14,0.64,1,47.26,-2.64,84.03
146944,410685137,38.25,-35.01,15.39,0.63,38.24,0.02,2.73,1,16.43,-0.61,49.89
146944,410039749,166.55,-25.36,-10.87,-164.25,27.59,-2.48,-2.74,1,3.67,1.57,16.78
146944,431653618,34.84,-4.90,27.11,-21.33,27.55,-0.71,1.75,-1,41.00,-2.12,62.76
146944,431449541,51.66,6.72,-39.61,-32.46,40.18,-0.74,-1.40,-1,43.82,1.56,83.59
146944,430678560,180.94,13.44,40.08,175.93,42.27,2.13,1.25,1,39.36,-1.86,81.57
146944,430672361,61.19,15.20,35.87,-47.18,38.96,-1.02,1.17,-1,5.88,-3.11,25.50
146944,431056801,187.45,34.63,16.55,-183.48,38.38,-2.27,0.45,-1,19.55,-2.16,52.87
146944,432042834,137.62,-74.88,-42.87,-107.20,86.29,-1.04,-2.62,-1,7.14,0.10,48.53
146944,432543408,179.60,32.62,-23.95,-174.98,40.47,-2.17,-0.63,-1,34.70,-2.99,69.31
146944,436147093,55.65,5.55,-27.27,48.19,27.83,1.32,-1.37,-1,30.00,1.78,57.79
146944,436218902,28.77,-20.61,-18.73,-7.24,27.84,-0.26,-2.40,1,0.87,-0.97,6.47
146944,436074911,61.69,38.78,-6.33,47.56,39.29,1.02,-0.16,1,37.92,3.02,77.18
146944,437040103,60.05,21.35,-26.27,49.60,33.85,1.18,-0.89,1,25.90,-0.28,17.77
146944,436251060,79.59,-22.61,-22.46,72.93,31.87,1.57,-2.36,-1,7.94,-2.13,3.65
146944,436318012,103.94,-25.16,-20.61,98.73,32.52,1.83,-2.46,1,39.56,1.12,70.03
146944,436790612,72.90,9.03,-39.69,60.48,40.70,1.19,-1.35,1,47.76,1.40,86.51
146944,436909468,57.43,-36.71,-21.82,38.40,42.70,0.81,-2.61,-1,36.12,0.68,78.35
146944,438664424,38.35,-3.28,-27.70,26.33,27.89,0.84,-1.69,1,37.89,1.08,63.92
146944,438658584,25.69,1.05,25.66,0.39,25.68,0.02,1.53,-1,19.03,-0.88,41.25
146944,437889866,48.34,24.63,20.57,36.16,32.09,0.97,0.70,-1,37.00,-2.88,67.32
146944,438786170,47.70,-39.90,9.58,-24.32,41.03,-0.56,2.91,-1,39.94,-0.42,80.62
146944,437635715,106.54,-27.42,-8.46,102.60,28.69,1.99,-2.84,-1,11.29,0.64,35.48
146944,441719581,63.65,21.59,28.17,52.84,35.50,1.19,0.92,-1,40.75,-2.46,75.54
146944,442581552,61.16,-14.87,-42.68,-41.20,45.20,-0.82,-1.91,-1,2.84,1.62,22.26
146944,442295218,177.32,14.64,-25.45,-174.87,29.36,-2.48,-1.05,1,25.76,2.17,54.96
146944,441713076,65.02,33.59,34.92,43.36,48.45,0.81,0.80,1,42.74,-2.32,91.01
146944,441929668,38.16,31.95,12.95,-16.36,34.47,-0.46,0.39,-1,39.53,-2.67,73.76
146944,443292070,257.00,9.53,-42.64,-253.26,43.70,-2.46,-1.35,1,41.89,2.03,84.97
146944,443943982,50.84,27.09,-16.27,-39.82,31.60,-1.05,-0.54,-1,15.06,2.80,43.41
146944,443815768,56.61,21.11,-17.57,-49.50,27.47,-1.35,-0.69,-1,20.38,2.70,46.96
